日期,開盤,最高,最低,收盤,MA10,MA20,均線狀態,多方追蹤中缺口數,空方追蹤中缺口數,候選State,候選總持股比例,當日事件
2026-04-27,39858.19,40194.92,39607.74,39616.63,37566.02,35624.43,多方確認,5,0,1,80%,"向上缺口(第5個,下緣38990)"
2026-04-28,39531.93,40101.23,39521.73,39521.73,37888.58,35944.89,多方確認,5,0,1,80%,
2026-04-29,39176.24,39548.18,38896.3,39303.5,38146.71,36284.16,多方確認,5,0,1,80%,
2026-04-30,39571.46,39848.22,38926.63,38926.63,38326.18,36644.34,多方確認,0,0,1,80%,向上缺口回補
2026-05-04,39228.39,40755.52,39228.39,40705.14,38716.26,37020.85,多方確認,0,0,1,80%,
2026-05-05,40708.4,40885.05,40522.78,40769.29,39097.3,37430.7,多方確認,0,0,1,80%,
2026-05-06,40983.04,41575.84,40616.28,41138.85,39450.68,37826.15,多方確認,0,0,1,80%,
2026-05-07,41259.96,42156.06,41259.96,41933.78,39856.21,38184.77,多方確認,0,0,1,80%,
2026-05-08,41886.03,42038.6,41132.25,41603.94,40245.19,38521.91,多方確認,0,0,1,80%,
2026-05-11,41714.0,42021.78,41529.25,41790.06,40530.96,38840.52,多方確認,0,0,1,80%,
2026-05-12,41880.66,42253.42,41471.57,41898.32,40759.12,39162.57,多方確認,0,0,1,80%,
2026-05-13,41795.92,41795.92,41014.53,41374.5,40944.4,39416.49,多方確認,0,0,1,80%,
2026-05-14,41496.23,42205.62,41496.23,41751.75,41189.23,39667.97,多方確認,0,0,1,80%,
2026-05-15,41830.42,42408.66,41016.73,41172.36,41413.8,39869.99,中性,0,0,1,80%,
2026-05-18,41095.82,41095.82,40170.17,40891.82,41432.47,40074.36,中性,0,0,1,80%,
2026-05-19,40883.42,40951.56,40168.51,40175.56,41373.09,40235.2,空方確認,0,0,2,60%,均線空方確認(新)；候選:均線空方確認觸發減碼 → State2
2026-05-20,40204.16,40439.04,39967.08,40020.82,41261.29,40355.98,空方確認,0,0,2,60%,
2026-05-21,40263.18,41606.91,40263.18,41368.21,41204.73,40530.47,多方確認,0,0,1,80%,均線多方確認(新)；候選:均線多方確認回補一階 → State1
2026-05-22,41447.92,42357.6,41447.92,42267.97,41271.14,40758.16,多方確認,0,0,1,80%,
2026-05-25,42667.87,43645.78,42667.87,43644.4,41456.57,40993.76,多方確認,1,0,1,80%,"向上缺口(第1個,下緣42358)"
2026-05-26,43708.89,44097.63,43349.77,43525.37,41619.28,41189.2,多方確認,1,0,1,80%,
2026-05-27,43842.26,44818.25,43842.26,44256.8,41907.51,41425.95,多方確認,1,0,1,80%,
2026-05-28,44240.8,44954.09,43236.36,43636.44,42095.98,41642.6,多方確認,1,0,1,80%,
2026-05-29,43815.48,44933.95,43815.48,44732.94,42452.03,41932.92,多方確認,1,0,1,80%,
2026-06-01,44872.82,45931.1,44872.82,45337.91,42896.64,42164.55,多方確認,1,0,1,80%,
2026-06-02,45388.93,45915.92,44869.38,45557.31,43434.82,42403.96,多方確認,1,0,1,80%,
2026-06-03,45660.46,46552.16,45660.46,46459.16,44078.65,42669.97,多方確認,1,0,1,80%,
2026-06-04,46364.07,46364.07,45677.46,45677.46,44509.58,42857.16,多方確認,1,0,1,80%,
2026-06-05,45619.82,45619.82,44209.53,45070.94,44789.87,43030.51,多方確認,0,1,2,60%,"向下缺口(第1個,上緣45677)；候選:第一次減碼觸發 → State2"
2026-06-08,44507.49,44507.49,42376.86,43502.78,44775.71,43116.14,中性,0,1,2,60%,
2026-06-09,43687.62,44821.71,43687.62,44704.44,44893.62,43256.45,中性,0,1,2,60%,
2026-06-10,44581.45,44676.49,43225.54,43225.54,44790.49,43349.0,空方確認,0,1,2,60%,均線空方確認(新)；候選:均線空方確認觸發減碼 → State2
2026-06-11,43172.21,43463.03,42006.39,43149.46,44741.79,43418.88,空方確認,0,1,2,60%,
2026-06-12,43587.63,44798.88,43587.63,44169.04,44685.4,43568.72,中性,1,0,2,60%,"向上缺口(第1個,下緣43463)"
2026-06-15,44447.87,45483.63,44447.87,45396.99,44691.31,43793.98,多方確認,1,0,1,80%,均線多方確認(新)；候選:均線多方確認回補一階 → State1
2026-06-16,45500.08,45809.19,45266.34,45809.19,44716.5,44075.66,多方確認,1,0,1,80%,
2026-06-17,45685.27,45877.39,45159.51,45877.39,44658.32,44368.49,多方確認,1,0,1,80%,
2026-06-18,45972.26,46565.7,45972.26,46465.2,44737.1,44623.34,多方確認,2,0,1,80%,"向上缺口(第2個,下緣45877)"
2026-06-22,46679.57,47871.19,46679.57,47741.51,45004.15,44897.01,多方確認,3,0,1,80%,"向上缺口(第3個,下緣46566)"
2026-06-23,47795.09,48218.87,47100.65,47100.65,45363.94,45069.83,多方確認,3,0,1,80%,
2026-06-24,46909.98,46909.98,45819.71,46043.6,45497.86,45195.74,多方確認,0,1,2,60%,"向下缺口(第1個,上緣47101)；候選:第一次減碼觸發 → State2"
2026-06-25,46339.68,46785.45,46048.7,46255.26,45800.83,45295.66,多方確認,0,1,2,60%,
2026-06-26,46188.6,46188.6,44454.22,44571.76,45943.06,45342.43,空方確認,0,1,2,60%,均線空方確認(新)；候選:均線空方確認觸發減碼 → State2
2026-06-29,44594.81,45521.63,44594.81,44999.9,46026.15,45355.77,空方確認,0,1,2,60%,
2026-06-30,45165.8,46637.86,45165.8,46125.91,46099.04,45395.17,多方確認,0,1,1,80%,均線多方確認(新)；候選:均線多方確認回補一階 → State1
2026-07-01,46234.7,47293.1,46234.7,47018.99,46220.02,45468.26,多方確認,0,1,1,80%,
2026-07-02,46833.89,46910.31,45981.89,46744.16,46306.69,45482.51,多方確認,0,1,1,80%,
2026-07-03,46545.14,46948.83,45880.69,46780.62,46338.24,45537.67,多方確認,0,1,1,80%,
2026-07-06,46897.18,47395.3,46431.38,46556.39,46219.72,45611.94,多方確認,0,1,1,80%,
2026-07-07,46537.34,46967.04,45432.02,45479.11,46057.57,45710.76,空方確認,0,1,2,60%,均線空方確認(新)；候選:均線空方確認觸發減碼 → State2
2026-07-08,45524.69,45837.12,45036.64,45734.41,46026.65,45762.25,空方確認,0,1,2,60%,
2026-07-09,45805.62,46064.06,45352.41,45354.61,45936.59,45868.71,空方確認,0,1,2,60%,
2026-07-13,45500.32,46330.91,45272.9,45380.52,46017.46,45980.26,空方確認,0,1,2,60%,
2026-07-14,45364.4,45364.4,43654.04,44737.95,45991.27,46008.71,空方確認,0,1,2,60%,
2026-07-15,44850.69,45881.91,44850.69,45631.59,45941.83,46020.44,空方確認,0,1,2,60%,
2026-07-16,45511.98,45855.02,44970.64,45624.98,45802.43,46011.23,空方確認,0,1,2,60%,
2026-07-17,45234.08,45234.08,42671.27,42671.27,45395.14,45850.92,空方確認,0,1,2,60%,
2026-07-20,42793.15,43084.51,41967.75,42449.7,44962.05,45650.14,空方確認,0,1,2,60%,
2026-07-21,42566.93,44232.87,42566.93,44232.87,44729.7,45474.71,空方確認,0,1,2,60%,
2026-07-22,44513.75,45323.75,44513.75,44825.78,44664.37,45360.97,中性,1,0,2,60%,"向上缺口(第1個,下緣44233)"
2026-07-23,44899.04,45089.82,44340.76,44850.81,44576.01,45301.33,中性,1,0,2,60%,
2026-07-24,44769.39,44769.39,43607.4,43654.84,44406.03,45171.31,空方確認,0,0,2,60%,向上缺口回補；均線空方確認(新)；候選:均線空方確認觸發減碼 → State2
2026-07-27,43585.92,43686.15,42969.48,43634.19,44231.4,45124.43,空方確認,0,0,2,60%,
2026-07-28,43221.93,43221.93,41565.0,41603.36,43917.94,44954.6,空方確認,0,0,2,60%,
2026-07-29,41491.48,41698.39,39384.85,40039.18,43358.7,44650.27,空方確認,0,0,2,60%,
2026-07-30,40048.94,41155.42,39404.65,39933.3,42789.53,44295.98,空方確認,0,0,2,60%,
2026-07-31,41610.41,43214.36,41610.41,43119.75,42834.38,44114.76,中性,1,0,2,60%,"向上缺口(第1個,下緣41155)"
2026-08-03,42780.42,43784.19,42780.42,43386.41,42928.05,43945.05,中性,1,0,2,60%,
2026-08-04,43092.49,43912.77,42895.81,43360.66,42840.83,43785.26,中性,1,0,2,60%,
2026-08-05,43809.83,44980.31,43809.83,44611.6,42819.41,43741.89,多方確認,1,0,1,80%,均線多方確認(新)；候選:均線多方確認回補一階 → State1
